YEAR,AREA
1987,53960
1988,52830
1989,76450
1990,71490
1991,86300
1992,77510
1993,80130
1994,79140
1995,72132
1996,67584
1997,58874
1998,59749
1999,68864
2000,70510
2001,67289
2002,66397
2003,61692
2004,60339
2005,61303
2006,62696
2007,67398
2008,72934
2009,81708
2010,80561
2011,87435
2012,88975
2013,92574
2014,94175
2015,96661
2016,94028
2017,98102
2018,98499
