YEAR,YIELD
1990,2.2969062460247
1991,1.9378248433096
1992,2.2208477759754
1993,2.4908535593511
1994,2.2600029721467
1995,2.509286509636
1996,2.5593926284824
1997,3.0376920441894
1998,2.6649153443844
1999,1.9648726595084
2000,3.1172696390658
2001,3.1200055178268
2002,4.4524353047133
2003,4.3546382467727
2004,4.5835376763735
2005,4.7732909036325
2006,4.8131281897328
2007,4.8735809066346
2008,4.7746554216867
2009,4.5680614457831
2010,4.3616391566265
2011,3.4173204819277
2012,3.7574711191336
2013,4.0345716004813
2014,4.1700648572436
2015,4.8540676771237
2016,4.9355778011942
2017,5.1205949947127
2018,4.8568428421421
