YEAR,PRODUCTION
2002,2326
2003,2159.8
2004,2199.22
2005,1998.58
2006,1911.83
2007,1947.29
2008,2065.26
2009,2005.49
2010,2061.18
2011,1908.03
2012,1953.7
2013,1929.79
2014,1980.12
2015,2099.81
2016,2439.24
2017,1726.36
2018,1785.52
