YEAR,AREA
1990,0.87
1991,0.87
1992,0.98
1993,1.02
1994,0.92
1995,0.88
1996,0.88
1997,0.9
1998,0.9
1999,0.84
2000,0.96
2001,0.99
2002,0.98
2003,0.97
2004,0.93
2005,0.91
2006,0.92
2007,1.07
2008,1.06
2009,1.06
2010,1.03
2011,1.13
2012,1.12
2013,1.06
2014,1.02
2015,1
2016,0.96
2017,0.83
2018,0.78
