YEAR,AREA
1990,1588
1991,2258
1992,2405
1993,2200
1994,2338
1995,2110
1996,1800
1997,1190
1998,1105
1999,1077
2000,1067
2001,1021
2002,994
2003,956
2004,930
2005,928
2006,876
2007,868
2008,870
2009,871
2010,791.7
2011,792
2012,769
2013,759
2014,763
2015,761
2016,748
2017,719
2018,670
