YEAR,AREA
1990,2203
1991,1925
1992,1696
1993,1781
1994,1640
1995,2035
1996,2296
1997,2432
1998,2123
1999,1669
2000,1386
2001,1349
2002,1268
2003,1320
2004,1425
2005,1623
2006,1754
2007,2215
2008,1980
2009,1940
2010,1835
2011,1926
2012,2060
2013,2070
2014,2183
2015,2700
2016,2170
2017,2250
2018,2360
