YEAR,AREA
1990,27
1991,29
1992,29
1993,29
1994,30.24
1995,30
1996,30
1997,30
1998,26
1999,27
2000,26
2001,25
2002,26
2003,26
2004,27
2005,29
2006,30
2007,32
2008,35.5
2009,38
2010,35
2011,37
2012,38
2013,38.25
2014,38.5
2015,40
2016,40
2017,39.5
2018,39.5
