YEAR,PRODUCTION
2000,1517943
2001,1584516
2002,1667763
2003,1733087
2004,1709404
2005,1771282
2006,1836136
2007,1886004
2008,1855726
2009,1877339
2010,1898158
2011,1940347
2012,1973617
2013,2012173
2014,2032303
2015,2120333
2016,2231660
2017,2265015
2018,2319764
