YEAR,YIELD
1990,2.2997014925373
1991,2.2262686567164
1992,2.5353571428571
1993,2.5001886792453
1994,2.8655
1995,2.39375
1996,2.793125
1997,3.3560416666667
1998,4.4464583333333
1999,4.7802083333333
2000,4.83875
2001,4.4918181818182
2002,4.4963636363636
2003,4.4886363636364
2004,4.53
2005,5.7134782608696
2006,7.5887878787879
2007,12.15
2008,18.747967479675
2009,31.284210526316
2010,18.365853658537
2011,31.317073170732
2012,29.367088607595
2013,27.866242038217
2014,27.089171974522
2015,26.772435897436
2016,29.989440993789
2017,30.534545454545
2018,30.592360248447
