YEAR,AREA
1990,10
1991,10
1992,10
1993,27.01
1994,27
1995,27
1996,27
1997,27
1998,24
1999,25
2000,24
2001,23
2002,26
2003,26
2004,27
2005,30
2006,31
2007,30.5
2008,35
2009,40
2010,44
2011,44
2012,50
2013,51
2014,55
2015,57
2016,58
2017,59.5
2018,60
