YEAR,YIELD
1990,2.1924076787808
1991,2.0699913706314
1992,2.0937029288703
1993,2.1061627760252
1994,2.1656513000879
1995,2.1653309885693
1996,2.2799531051965
1997,2.0217680608365
1998,1.9954676806084
1999,1.9488589580686
2000,1.958445229682
2001,1.9451305514885
2002,2.0743280977312
2003,2.1076003242805
2004,2.1270351489133
2005,2.6315636266524
2006,2.6542105965568
2007,2.7401895797428
2008,2.8305924823125
2009,2.9311949934124
2010,3.0399134312697
2011,3.0967587548638
2012,3.6355294117647
2013,3.921709902371
2014,4.2770930576071
2015,5.0620276417075
2016,4.9093455450827
2017,4.9554330428597
2018,4.9814977578475
